,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDind,WAVE,hhid,IDind_s,marital,rural,gender,birth_year,curr_work,ever_work,indinc_cpi,indicator,husband_inc,child_under6,child_6to18,age,schooling,degree,exp
1,1,1,1,1,451202041002,2004,451202041,451202041001.0,2.0,1,2,1962.0,1.0,,8684.210526315792,1997,5052.631578947368,0,1,42.0,23.0,2.0,7
2,2,2,2,2,522203017002,2004,522203017,522203017001.0,2.0,2,2,1954.0,1.0,,3227.272727272727,1989,16824.24242424242,0,0,50.0,0.0,0.0,15
3,3,5,5,5,421103006002,2004,421103006,421103006001.0,2.0,1,2,1965.0,1.0,,4062.5,2000,22343.75,0,0,39.0,15.0,1.0,4
4,4,7,7,7,321206018003,2004,321206018,321206018002.0,2.0,1,2,1965.0,1.0,,10864.197530864201,2000,27160.493827160488,0,1,39.0,33.0,5.0,4
5,5,9,9,9,452304081002,2004,452304081,452304081001.0,2.0,2,2,1965.0,1.0,,13920.634920634919,2004,19714.28571428571,0,2,39.0,23.0,2.0,0
6,6,10,10,10,452203007002,2004,452203007,452203007001.0,2.0,2,2,1958.0,1.0,,3626.7573696145128,1993,2830.061548428896,0,1,46.0,25.0,3.0,11
7,7,11,11,11,452103008002,2004,452103008,452103008001.0,2.0,2,2,1949.0,1.0,,4020.438419228028,1989,3787.184430310836,0,0,55.0,11.0,0.0,15
9,9,15,15,15,422203008002,2004,422203008,422203008001.0,2.0,2,2,1962.0,1.0,,566.40625,1997,3417.96875,0,3,42.0,22.0,2.0,3
11,11,17,17,17,372302020002,2004,372302020,372302020001.0,2.0,2,2,1957.0,1.0,,3503.787878787879,1993,19758.52272727273,0,1,47.0,13.0,0.0,11
12,12,18,18,18,422301065002,2004,422301065,422301065001.0,2.0,2,2,1965.0,1.0,,14075.949367088608,2000,16708.86075949367,0,1,39.0,25.0,3.0,4
13,13,19,19,19,232202089002,2004,232202089,232202089001.0,2.0,2,2,1966.0,1.0,,-3003.623188405797,2004,-3003.623188405797,0,1,38.0,16.0,1.0,0
14,14,21,21,21,521202010002,2004,521202010,521202010001.0,2.0,1,2,1956.0,1.0,,15789.473684210532,1991,4421.0526315789475,0,0,48.0,29.0,4.0,13
15,15,22,22,22,421103009002,2004,421103009,421103009001.0,2.0,1,2,1962.0,1.0,,961.2111175115207,1997,1330.907701169798,0,2,42.0,22.0,2.0,5
16,16,23,23,23,422402017002,2004,422402017,422402017001.0,2.0,2,2,1964.0,1.0,,3602.3819930069926,2000,8225.743006993007,0,2,40.0,13.0,0.0,4
17,17,25,25,25,372104012002,2004,372104012,372104012001.0,2.0,2,2,1955.0,1.0,,2770.1198630127396,1991,18756.42123287674,0,0,49.0,15.0,1.0,6
18,18,26,26,26,421103003032,2004,421103003,421103003031.0,2.0,1,2,1963.0,1.0,,1250.0,2000,26250.0,0,1,41.0,23.0,2.0,4
19,19,27,27,27,421103007002,2004,421103007,421103007001.0,2.0,1,2,1949.0,1.0,,12748.88392856069,1989,22087.05357143931,0,0,55.0,0.0,0.0,15
20,20,28,28,28,522201012004,2004,522201012,522201012003.0,2.0,2,2,1953.0,0.0,,2524.172000248555,1989,13421.05263157895,0,0,51.0,16.0,1.0,9
21,21,29,29,29,422203006002,2004,422203006,422203006001.0,2.0,2,2,1951.0,1.0,,1778.192934782609,1989,2649.45652173913,0,0,53.0,0.0,0.0,11
22,22,31,31,31,452105001002,2004,452105001,452105001001.0,2.0,2,2,1961.0,1.0,,12631.57894736842,1997,12631.57894736842,0,1,43.0,23.0,2.0,7
24,24,34,34,34,421103002002,2004,421103002,421103002001.0,2.0,1,2,1967.0,1.0,,9976.5625,2004,17949.21875,0,2,37.0,15.0,1.0,0
25,25,35,35,35,232103004002,2004,232103004,232103004001.0,2.0,2,2,1969.0,1.0,,11956.52173913044,2004,11956.52173913044,0,2,35.0,15.0,1.0,0
26,26,38,38,38,452204002003,2004,452204002,452204002002.0,2.0,2,2,1962.0,1.0,,7609.826745513019,1997,11602.23674655047,0,1,42.0,23.0,2.0,7
27,27,39,39,39,321203016002,2004,321203016,321203016001.0,2.0,1,2,1957.0,1.0,,10158.730158730159,1993,28888.888888888887,0,0,47.0,15.0,1.0,11
28,28,40,40,40,321203017002,2004,321203017,321203017001.0,2.0,1,2,1951.0,0.0,,9944.973544973544,1989,529.1005291005291,0,0,53.0,13.0,0.0,13
29,29,42,42,42,212302081002,2004,212302081,212302081001.0,2.0,2,2,1968.0,1.0,,11000.0,2004,6379.032258064517,0,1,36.0,16.0,1.0,0
30,30,43,43,43,421104012001,2004,421104012,421104012004.0,2.0,1,2,1960.0,1.0,,4312.5,1997,7500.0,0,1,44.0,22.0,2.0,7
31,31,46,46,46,421104015001,2004,421104015,421104015006.0,2.0,1,2,1960.0,1.0,,22500.0,1997,22500.0,0,1,44.0,25.0,3.0,7
32,32,47,47,47,451203005004,2004,451203005,451203005003.0,2.0,1,2,1965.0,0.0,,5196.825396825397,2000,0.0,0,1,39.0,23.0,2.0,2
34,34,49,49,49,372104019002,2004,372104019,372104019001.0,2.0,2,2,1959.0,1.0,,3075.0,1997,4612.5,0,1,45.0,25.0,3.0,2
35,35,50,50,50,522203011002,2004,522203011,522203011001.0,2.0,2,2,1953.0,1.0,,1214.285714285714,1989,23587.229437229435,0,0,51.0,15.0,1.0,15
36,36,51,51,51,372302002002,2004,372302002,372302002001.0,2.0,2,2,1955.0,1.0,,10156.25,1993,19531.25,0,0,49.0,22.0,2.0,9
37,37,52,52,52,372104018002,2004,372104018,372104018001.0,2.0,2,2,1954.0,1.0,,406.25,1989,7500.0,0,0,50.0,23.0,2.0,5
38,38,56,56,56,421104005004,2004,421104005,421104005001.0,2.0,1,2,1956.0,0.0,,5643.75,1991,15312.5,0,0,48.0,15.0,1.0,11
39,39,59,59,59,421104009003,2004,421104009,421104009001.0,2.0,1,2,1959.0,1.0,,5625.0,1997,15312.5,0,0,45.0,23.0,2.0,7
40,40,61,61,61,432304012002,2004,432304012,432304012001.0,2.0,2,2,1954.0,1.0,,-66.50793650714117,1989,3713.650793649999,0,0,50.0,16.0,1.0,15
41,41,62,62,62,372104081002,2004,372104081,372104081001.0,2.0,2,2,1969.0,1.0,,10361.842105263158,2004,6888.157894736843,0,1,35.0,23.0,2.0,0
42,42,63,63,63,452103002002,2004,452103002,452103002001.0,2.0,2,2,1954.0,1.0,,6241.2698412688815,1989,11149.20634920666,0,0,50.0,14.0,0.0,15
43,43,64,64,64,521204002002,2004,521204002,521204002001.0,2.0,1,2,1964.0,1.0,,6060.606060606059,2000,18939.39393939394,0,3,40.0,23.0,2.0,4
45,45,68,68,68,452402020002,2004,452402020,452402020001.0,2.0,2,2,1957.0,1.0,,4841.269841269841,1993,9838.282511485128,0,1,47.0,15.0,1.0,11
46,46,69,69,69,321203010002,2004,321203010,321203010001.0,2.0,1,2,1958.0,1.0,,19480.72562358277,1993,10476.190476190479,0,0,46.0,0.0,0.0,9
